Country ,Sex,Age,Marriage duration (years),Number of children,Number of brought up children,"Education (1-no formal education, 2-primary school, 3-secondary school, 4-high school or technical college, 5-bachelor or master degree) ","Material status (1-much better than average in my country, 2-better than average in my country, 3-similar to average in my country, 4-worse than average in my country, 5-much worse than average in my country)","Religion (1-Protestant, 2-Catholic,  3-Jewish, 4-Muslim, 5-Buddhist, 6-None, 7-Jehovah, 8-Evangelic, 9-Spiritualism, 10-Other - very specific, 11-Orthodox, 12-Hinduism) ","Religiosity (1-not religious at all, 7-extremely religious)","Pension (1-strongly agree, 4-neither agree nor disagree, 7-strongly disagree)"
Brazil ,M,21,2,0,0,5,3,1,4,4
Brazil ,M,29,3,1,0,5,3,1,6,5
Brazil ,M,30,7,0,0,5,3,1,4,4
Brazil ,M,30,7,1,1,5,3,1,6,7
Brazil ,M,28,9,0,0,4,2,1,5,7
Brazil ,M,39,9,1,0,5,3,1,6,4
Brazil ,M,30,7,2,2,5,3,1,5,3
Brazil ,M,40,20,2,2,5,3,1,7,6
Brazil ,F,43,22,2,2,4,3,1,5,5
Brazil ,F,34,2,1,0,5,2,1,4,3
Brazil ,F,52,27,2,0,3,2,1,1,7
Brazil ,M,33,4,1,1,5,3,1,4,6
Brazil ,M,32,1,0,0,5,2,1,7,3
Brazil ,M,32,1,0,0,5,2,1,5,2
Brazil ,M,29,5,1,1,5,2,1,7,2
Brazil ,M,48,24,2,0,5,2,1,3,7
Brazil ,M,47,15,2,2,5,2,2,6,1
Brazil ,M,24,2,0,0,5,3,2,7,3
Brazil ,M,37,7,0,0,5,2,2,4,6
Brazil ,M,31,4,0,0,5,1,2,5,7
Brazil ,M,31,5,1,1,5,2,2,4,7
Brazil ,M,19,2,0,0,4,3,2,5,6
Brazil ,M,30,1,0,0,5,3,2,4,7
Brazil ,M,30,2,0,0,5,1,2,4,2
Brazil ,M,28,6,0,0,5,2,2,4,5
Brazil ,F,26,1,0,0,5,3,2,4,7
Brazil ,M,40,17,1,1,5,2,2,3,6
Brazil ,M,32,2,0,0,5,3,2,4,7
Brazil ,M,34,6,1,1,5,3,2,4,2
Brazil ,M,29,1,0,0,5,2,2,3,7
Brazil ,F,33,15,0,0,5,2,2,4,3
Brazil ,M,31,8,0,0,5,2,2,2,4
Brazil ,M,34,8,1,1,5,2,2,4,2
Brazil ,M,52,22,1,1,5,3,2,5,3
Brazil ,F,60,26,2,0,5,3,2,5,3
Brazil ,F,33,2,0,0,5,2,2,4,6
Brazil ,M,42,17,1,1,5,2,2,6,4
Brazil ,M,25,4,0,0,4,2,2,5,6
Brazil ,M,30,9,0,0,5,3,2,2,4
Brazil ,M,25,5,1,0,4,2,2,6,7
Brazil ,M,29,6,0,0,5,3,2,3,7
Brazil ,F,43,18,2,2,4,3,2,5,6
Brazil ,M,28,4,1,1,5,2,2,7,7
Brazil ,M,27,3,0,0,5,3,2,3,7
Brazil ,M,27,8,0,0,5,2,2,5,2
Brazil ,M,35,2,0,0,5,2,2,3,6
Brazil ,M,29,7,2,2,5,1,2,6,4
Brazil ,M,27,1,0,0,5,2,2,4,7
Brazil ,M,33,13,2,3,5,1,4,2,4
Brazil ,F,54,13,1,1,5,2,4,1,3
Brazil ,F,38,7,1,1,5,2,4,3,6
Brazil ,M,24,6,0,0,5,2,6,2,4
Brazil ,F,35,7,0,0,5,2,6,1,7
Brazil ,F,27,3,0,0,5,2,6,1,4
Brazil ,M,23,1,0,0,4,3,6,2,3
Brazil ,M,60,36,3,0,5,1,6,1,1
Brazil ,F,29,2,0,0,5,2,6,1,2
Brazil ,F,31,8,0,0,5,2,6,1,5
Brazil ,F,57,2,3,0,5,3,6,1,6
Brazil ,M,30,4,0,0,5,2,6,1,6
Brazil ,F,32,14,0,0,5,1,6,1,4
Brazil ,M,39,1,1,1,5,3,6,2,5
Brazil ,M,33,8,0,0,5,2,6,2,6
Brazil ,F,26,3,1,1,5,2,6,3,4
Brazil ,M,27,2,0,0,5,2,6,2,6
Brazil ,F,31,1,0,0,5,2,6,2,4
Brazil ,M,23,7,2,2,5,2,6,1,3
Brazil ,M,40,20,3,3,4,2,6,1,7
Brazil ,F,26,6,0,0,5,2,6,1,7
Brazil ,M,30,6,0,0,5,2,6,3,2
Brazil ,M,31,2,2,3,5,2,6,5,1
Brazil ,M,29,2,0,0,5,2,6,3,2
Brazil ,M,32,10,0,0,5,2,6,4,7
Brazil ,M,37,12,1,1,5,2,6,4,7
Brazil ,M,29,1,0,0,5,2,6,1,4
Brazil ,M,25,7,0,0,5,2,6,1,3
Brazil ,M,37,9,1,1,5,2,6,1,1
